title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent,isbn,publisher,publication_date,pages,language,weight,review_count
One Fold at a Time Origami: 38 Easy Models for First...,"Jackson, Paul",Paperback,1,Cooking & Food,http://www.periplus.com/p/9784805318997/one-fold-at-a-time-origami-38-easy-models-for-first-time-folders?path=1_17,118000.0,278000.0,58.0,9784805318997.0,Tuttle Publishing,-,128.0,English,0.41,0
Taylor Swift - American Girl,"McHugh, Carolyn",Hardcover,1,Cooking & Food,http://www.periplus.com/p/9781915343024/taylor-swift-american-girl?path=1_17,49000.0,405000.0,88.0,9781915343024.0,Sona Books,02 May 2023,112.0,English,0.64,0
Taylor Swift - A Life in Pictures,"McHugh, Carolyn",Hardcover,1,Cooking & Food,http://www.periplus.com/p/9781915343673/taylor-swift-a-life-in-pictures?path=1_17,83300.0,478000.0,83.0,9781915343673.0,Sona Books,15 September 2024,80.0,English,0.7,0
"Egyptian Sacred Animals Oracle (Egyptian Tarot, 6)",Silvana Alasia,Paperback,0,Cooking & Food,http://www.periplus.com/p/9780738782256/egyptian-sacred-animals-oracle-egyptian-tarot-6?path=1_17,454000.0,454000.0,0.0,9780738782256.0,Llewellyn Publication,08 October 2025,128.0,English,0.29,0
A Sherlock Holmes Escape Book: The Adventure of the...,"Sacker, Ormond",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781781454985/a-sherlock-holmes-escape-book-the-adventure-of-the-train-of-the-dead?path=1_17,248000.0,248000.0,0.0,9781781454985.0,Ammonite Press,14 October 2025,152.0,English,0.28,0
Perfect Pocket Puzzles: Sudoku,"Moore, Gareth",Paperback,1,Cooking & Food,http://www.periplus.com/p/9781789294194/perfect-pocket-puzzles-sudoku?path=1_17,148500.0,165000.0,10.0,9781789294194.0,Michael O'Mara Books,01 November 2022,192.0,English,0.16,0
Einstein Origami Paper Puzzles & Games: 30 Paper Tangrams...,"Chen, Sy",Paperback,1,Cooking & Food,http://www.periplus.com/p/9780804859097/einstein-origami-paper-puzzles-and-games-30-paper-tangrams-mosaics-and-other-brain-teasers?path=1_17,208600.0,298000.0,30.0,9780804859097.0,Tuttle Publishing,-,144.0,English,0.61,0
Healthy Brain Origami: Fold Decorative Paper Models...,"Ohara, Mayumi",Paperback,1,Cooking & Food,http://www.periplus.com/p/9784805318959/healthy-brain-origami-fold-decorative-paper-models-that-boost-mental-acumen-and-keep-your-brain-active-craft-a-happier-healthier-brain?path=1_17,194600.0,278000.0,30.0,9784805318959.0,Tuttle Publishing,-,128.0,English,0.41,0
Taylor Swift: Icon,"Sprinkel, Katy",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781637274866/taylor-swift-icon?path=1_17,309000.0,309000.0,0.0,9781637274866.0,Triumph Books (IL),-,112.0,English,0.41,0
Tokyo by Night - 1000 Piece Jigsaw Puzzle: Tokyo's...,Unknown Author,Unknown,1,Cooking & Food,http://www.periplus.com/p/9780804854702/tokyo-by-night-1000-piece-jigsaw-puzzle-tokyo-s-kabuki-cho-district-at-night-finished-size-24-x-18-inches-61-x-46-cm?path=1_17,288000.0,288000.0,0.0,9780804854702.0,Tuttle Publishing,-,0.0,English,0.54,0
Perfect Pocket Puzzles: Word Searches 2,"Moore, Gareth",Paperback,1,Cooking & Food,http://www.periplus.com/p/9781789296068/perfect-pocket-puzzles-word-searches-2?path=1_17,148500.0,165000.0,10.0,9781789296068.0,Michael O'Mara Books,30 July 2024,192.0,English,0.16,0
Barbie(tm): The World Tour,"Robbie, Margot",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9780789345578/barbie-tm-the-world-tour?path=1_17,1137000.0,1137000.0,0.0,9780789345578.0,Rizzoli International Publications,-,160.0,English,1.38,0
The Little Book of Famous Last Words: Classic Quotes...,Oh,Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781800695658/the-little-book-of-famous-last-words-classic-quotes-and-quips-that-deserve-the-last-word?path=1_17,183000.0,183000.0,0.0,9781800695658.0,Oh,-,192.0,English,0.25,0
Dungeons & Dragons Worlds & Realms: Adventures from...,"Lee, Adam",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9780593835500/dungeons-and-dragons-worlds-and-realms-adventures-from-greyhawk-to-faer-n-and-beyond?path=1_17,1034000.0,1034000.0,0.0,9780593835500.0,Ten Speed Press,-,368.0,English,2.02,0
Perfect Pocket Puzzles: Word Searches,"Moore, Gareth",Paperback,1,Cooking & Food,http://www.periplus.com/p/9781789294200/perfect-pocket-puzzles-word-searches?path=1_17,165000.0,165000.0,0.0,9781789294200.0,Michael O'Mara Books,01 November 2022,192.0,English,0.16,0
The Pocket Anime Movies,Gemini,Hardcover,1,Cooking & Food,http://www.periplus.com/p/9781802472998/the-pocket-anime-movies?path=1_17,104300.0,198000.0,47.0,9781802472998.0,Gemini Adult,-,128.0,English,0.23,0
Kitty Language: An Illustrated Guide to Understanding...,"Chin, Lili",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781984861986/kitty-language-an-illustrated-guide-to-understanding-your-cat?path=1_17,331000.0,331000.0,0.0,9781984861986.0,Ten Speed Press,-,160.0,English,0.36,0
John & Paul: A Love Story in Songs,"Leslie, Ian",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781250869548/john-and-paul-a-love-story-in-songs?path=1_17,662000.0,662000.0,0.0,9781250869548.0,Celadon Books,-,448.0,English,0.65,7
Just Kids,"Smith, Patti",Paperback,1,Cooking & Food,http://www.periplus.com/p/9780747568766/just-kids?path=1_17,299000.0,299000.0,0.0,9780747568766.0,Bloomsbury Publishing PLC,04 January 2011,320.0,English UK / Other,0.26,0
Walt Disney's Donald Duck Donald Duck Finds Pirate...,"Barks, Carl",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9798875001130/walt-disney-s-donald-duck-donald-duck-finds-pirate-gold-the-complete-carl-barks-disney-library-vol-1?path=1_17,827000.0,827000.0,0.0,9798875001130.0,Fantagraphics Books,-,240.0,English,0.84,0
Murdle: Volume 3: 100 Elementary to Impossible Mysteries...,"Karber, G. T.",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781250892331/murdle-volume-3-100-elementary-to-impossible-mysteries-to-solve-using-logic-skill-and-the-power-of-deduction?path=1_17,358000.0,358000.0,0.0,9781250892331.0,St. Martin's Griffin,-,384.0,English,0.41,0
Jane Austen Oracle,Lulumineuse,Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781835410646/jane-austen-oracle?path=1_17,517000.0,517000.0,0.0,9781835410646.0,Titan Books (UK),-,48.0,English,0.57,0
The Official Agatha Christie Puzzle Book: Put Your...,"Agatha Christie Ltd, Agatha Christie",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781399627931/the-official-agatha-christie-puzzle-book-put-your-detective-skills-to-the-ultimate-test?path=1_17,455000.0,455000.0,0.0,9781399627931.0,Laurence King,-,240.0,English,0.39,1
Hope,"Parker, Tom",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781788707206/hope?path=1_17,262000.0,262000.0,0.0,9781788707206.0,Bonnier,16 February 2023,304.0,English,0.0,0
Sherlock Holmes Escape Book: Adventure of the Two ...,"Sacker, Ormond",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781781454886/sherlock-holmes-escape-book-adventure-of-the-two-flying-scotsmen?path=1_17,310000.0,310000.0,0.0,9781781454886.0,Ammonite Press,01 April 2025,152.0,English,0.3,0
The Taylor Swift Activity Book: An Unofficial Lovefest...,"Joyce, Nathan",Paperback,0,Cooking & Food,http://www.periplus.com/p/9780008713317/the-taylor-swift-activity-book-an-unofficial-lovefest?path=1_17,310000.0,310000.0,0.0,9780008713317.0,Pavilion Books,15 October 2024,192.0,English,0.15,0
Dress Up Taylor: A Taylor Swift Paper Doll Book Featuring...,-,Paperback,1,Cooking & Food,http://www.periplus.com/p/9781923049765/dress-up-taylor-a-taylor-swift-paper-doll-book-featuring-her-iconic-eras?path=1_17,34300.0,365000.0,91.0,9781923049765.0,Smith Street Books,08 October 2024,32.0,English,0.23,0
Jujutsu Kaisen: The Official Anime Guide: Season 1...,"Akutami, Gege",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781974740819/jujutsu-kaisen-the-official-anime-guide-season-1?path=1_17,372000.0,372000.0,0.0,9781974740819.0,Viz Media,-,168.0,English,0.52,0
The Animation Atlas: The Ghibliotheque Guide to the...,"Cunningham, Jake",Hardcover,1,Cooking & Food,http://www.periplus.com/p/9781035427291/the-animation-atlas-the-ghibliotheque-guide-to-the-world-of-animated-film?path=1_17,279300.0,528000.0,47.0,9781035427291.0,Welbeck,-,192.0,English,0.82,0
Theory of Games and Economic Behavior,"Neumann, John Von",Paperback,0,Cooking & Food,http://www.periplus.com/p/9788401848506/theory-of-games-and-economic-behavior?path=1_17,620000.0,620000.0,0.0,9788401848506.0,Interbooks,-,660.0,English,0.87,2
"The Animator's Survival Kit: A Manual of Methods, ...","Williams, Richard",Paperback,0,Cooking & Food,http://www.periplus.com/p/9780865478978/the-animator-s-survival-kit-a-manual-of-methods-principles-and-formulas-for-classical-computer-games-stop-motion-and-internet-animators?path=1_17,776000.0,776000.0,0.0,9780865478978.0,"Farrar, Straus and Giroux",25 September 2012,392.0,English,1.66,0
Step by Step to Stand-Up Comedy - Revised Edition,"Dean, Greg",Paperback,0,Cooking & Food,http://www.periplus.com/p/9780989735179/step-by-step-to-stand-up-comedy-revised-edition?path=1_17,496000.0,496000.0,0.0,9780989735179.0,Be Funny Inc.,29 August 2018,216.0,English,0.29,0
The Stone Age : Sixty Years of the Rolling Stones,"Jones, Lesley-Ann",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781789465532/the-stone-age-sixty-years-of-the-rolling-stones?path=1_17,288000.0,288000.0,0.0,9781789465532.0,John Blake Publishing Ltd,08 June 2023,400.0,English UK / Other,0.32,0
Geishas and the Floating World - 1000 Piece Jigsaw...,-,Paperback,1,Cooking & Food,http://www.periplus.com/p/9780804854290/geishas-and-the-floating-world-1000-piece-jigsaw-puzzle-finished-size-24-x-18-inches-61-x-46-cm?path=1_17,225000.0,225000.0,0.0,9780804854290.0,Tuttle Publishing,07 July 2021,0.0,English,0.54,0
Jigsaw Puzzle Cherry Blossom Season in Old Tokyo,Unknown Author,Unknown,1,Cooking & Food,http://www.periplus.com/p/9780804854160/jigsaw-puzzle-cherry-blossom-season-in-old-tokyo?path=1_17,288000.0,288000.0,0.0,9780804854160.0,Periplus / Tuttle,13 April 2021,1000.0,English,0.54,0
Ghibliverse: Studio Ghibli Beyond the Films,"Cunningham, Jake",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781802797367/ghibliverse-studio-ghibli-beyond-the-films?path=1_17,516000.0,516000.0,0.0,9781802797367.0,Welbeck,-,192.0,English,0.73,0
Taylor Swift,"Newkey-Burden, Chas",Paperback,0,Cooking & Food,http://www.periplus.com/p/9780008696320/taylor-swift?path=1_17,288000.0,288000.0,0.0,9780008696320.0,HarperCollins Publishers,28 March 2024,304.0,English UK / Other,0.22,0
Roger Dahl's Comic Japan: Best of Zero Gravity Cartoons...,"Dahl, Roger",Paperback,0,Cooking & Food,http://www.periplus.com/p/9784805313374/roger-dahl-s-comic-japan-best-of-zero-gravity-cartoons-from-the-japan-times-the-lighter-side-of-tokyo-life?path=1_17,254000.0,254000.0,0.0,9784805313374.0,Tuttle Publishing,10 March 2015,168.0,English,0.41,4
"Balinese Dance, Drama & Music: A Beginner's Guide ...","Dibia, I. Wayan",Hardcover,1,Cooking & Food,http://www.periplus.com/p/9780804852760/balinese-dance-drama-and-music-a-beginner-s-guide-to-the-performing-arts-of-bali-bonus-online-content?path=1_17,318000.0,318000.0,0.0,9780804852760.0,Tuttle Publishing,20 June 2023,112.0,English,0.73,0
"Studio Ghibli: 100 Collectible Postcards, Volume 2...",Unknown Author,Unknown,1,Cooking & Food,http://www.periplus.com/p/9781797224503/studio-ghibli-100-collectible-postcards-volume-2-final-frames-from-the-feature-films-1984-2023?path=1_17,516000.0,516000.0,0.0,9781797224503.0,Chronicle Books,-,100.0,English,0.6,0
Taylor Swift,-,Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781958395684/taylor-swift?path=1_17,455000.0,455000.0,0.0,9781958395684.0,Hearst Home,-,144.0,English,0.29,0
When in Rome,"Adams, Sarah",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781472297051/when-in-rome?path=1_17,288000.0,288000.0,0.0,9781472297051.0,Headline Publishing Group,20 September 2022,320.0,English UK / Other,0.23,1
"Autumn Foliage in Kyoto, Japan - 1000 Piece Jigsaw...",-,Hardcover,1,Cooking & Food,http://www.periplus.com/p/9780804854696/autumn-foliage-in-kyoto-japan-1000-piece-jigsaw-puzzle-finished-size-29-x-20-inch-74-x-51-cm?path=1_17,89600.0,328000.0,73.0,9780804854696.0,Tuttle Publishing,-,0.0,English,0.0,0
A Life in Shadows: Shadow Theatre in South East Asia...,"Korsovitis, Constantine",Paperback,0,Cooking & Food,http://www.periplus.com/p/9786164510845/a-life-in-shadows-shadow-theatre-in-south-east-asia?path=1_17,755000.0,755000.0,0.0,9786164510845.0,River Books,09 June 2025,202.0,English,1.02,0
Truly,"Richie, Lionel",Paperback,1,Cooking & Food,http://www.periplus.com/p/9780008752330/truly?path=1_17,209300.0,399000.0,48.0,9780008752330.0,HarperCollins Publishers,30 September 2025,0.0,English,0.66,0
Bong Joon Ho: Director's Inspiration,"Joon Ho, Bong",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781636811802/bong-joon-ho-director-s-inspiration?path=1_17,826000.0,826000.0,0.0,9781636811802.0,Delmonico Books,-,192.0,English,1.06,0
